Indicadores de producto PATR;Indicadores de producto Plan indicativo
Actividades culturales para la promoción de la cultura realizadas;Actividades culturales para la promoción de la cultura realizadas
Actividades realizadas para el fomento del deporte en las comunidades negras, afrocolombianas, raizales y palenqueras;#N/D
Activos dispuestos para la reparación a víctimas.;#N/D
Acueductos construidos;Acueductos construidos
Aeródromos mejorados;Aeródromos mejorados
Aeropuertos mejorados;Aeropuertos mejorados
Alianzas apoyadas para el aprovechamiento del conocimiento, la conservación y el uso de la biodiversidad, sus bienes y servicios ecosistémicos;#N/D
Antigüedad de los instrumentos de ordenamiento territorial vigente en la subregión;#N/D
Áreas bajo esquemas de Pagos por Servicios Ambientales (PSA) e incentivos a la conservación;#N/D
Áreas de ecosistemas protegidas;Áreas de ecosistemas protegidas
Áreas en proceso de restauración;Áreas en proceso de restauración
Áreas protegidas;Áreas protegidas
Areas protegidas registradas en el RUNAP;#N/D
Asistencias técnicas en fortalecimiento de justicia propia realizadas;Asistencias técnicas en fortalecimiento de justicia propia realizadas
Asistencias técnicas y jurídicas realizadas;Asistencias técnicas y jurídicas realizadas
Atletas y paratletas apoyados a través los programas e incentivos para la preparación y participación en eventos internacionales como embajadores de paz en el mundo;#N/D
Beneficiarios atendidos;Beneficiarios atendidos
Beneficiarios atendidos por Artesanías de Colombia en municipios PDET;#N/D
Beneficiarios de transporte escolar;Beneficiarios de transporte escolar
Beneficiarios del programa nacional de alfabetización;#N/D
Beneficiarios participantes en deporte, recreación, actividad física y jornada escolar complementaria;#N/D
Caminos ancestrales con mantenimiento;Caminos ancestrales con mantenimiento
Caminos ancestrales mejorados;Caminos ancestrales mejorados
Canal navegable mantenido;Canal navegable mantenido
Capacidad instalada de fuentes no convencionales de energía y de soluciones tipo híbrido en las Zonas No Interconectadas (ZNI);#N/D
Capacitaciones realizadas en el uso de la Ventanilla Única de Comercio Exterior - VUCE;#N/D
Casas de justicia en operación;Casas de justicia en operación
Casos de muerte por desnutrición de todos los grupos poblacionales sobre lo que no se tenga indicador;#N/D
Casos y tasa de sospechosos de violencia de género;#N/D
Centros comunitarios dotados;Centros comunitarios dotados
Centros de conciliación, arbitraje y amigable composición y entidades avaladas vigilados;#N/D
Centros de convivencia en operación;#N/D
Centros de salud construidos o mejorados en territorios definidos en el respectivo plan;#N/D
Centros logísticos agropecuarios construidos;Centros logísticos agropecuarios construidos
Centros poblados rurales con más de 100 habitantes con acceso comunitario a internet;#N/D
Ciudadanos con servicio de justica prestado en las casas de justicia;#N/D
Ciudadanos con servicio de justica prestado en los centros de convivencia ciudadano;#N/D
Comunidades étnicas asistidas técnicamente;Comunidades étnicas asistidas técnicamente
Consejo comunitario titulado;#N/D
Construcción y mantenimiento de centros de producción y comunicación;#N/D
